Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000003863496,Sun-9-17-2017-9PM,Mon-9-18-2017-6AM,"Penny Chenery, Owner of the Triple Crown Winner Secretariat, Dies at 95",https://www.nytimes.com/2017/09/17/sports/horse-racing/penny-chenery-dead.html,None,Sports,article,[ Richard Goldstein -],AddRem
100000004612619,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,Facebook Faces a New World as Officials Rein In a Wild Web,https://www.nytimes.com/2017/09/17/technology/facebook-government-regulations.html,None,Tech,article,[ Paul Mozur - Mark Scott - Mike Isaac -],Added
100000004718174,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Where can you escape the harshest effects of climate change?,https://www.nytimes.com/2016/10/20/science/9-cities-to-live-in-if-youre-worried-about-climate-change.html,None,Science,article,[ Jonah Engel Bromwich -],Remain
100000005148449,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,How Junk Food is Transforming Brazil,https://www.nytimes.com/video/international-home/100000005148449/junk-food-upriver-tbd.html,None,World,video,None,Removed
100000005261282,Sun-9-17-2017-9PM,Sun-9-17-2017-9PM,Emmys 2017: Where to Stream the Best Nominated Shows,https://www.nytimes.com/2017/07/14/watching/emmy-nominated-shows-where-to-stream.html,None,Arts,article,[ Judy Berman -],AddRem
100000005216966,Sun-9-17-2017-11PM,Mon-9-18-2017-12PM,"In Alaska�۪s Far-Flung Villages, Happiness Is a Cake Mix",https://www.nytimes.com/2017/09/17/dining/cake-mix-alaska.html,None,Food,article,[ Julia O�۪Malley -],AddRem
100000005254541,Mon-9-18-2017-6PM,Mon-9-18-2017-6PM,F.Y.I.: Manhattan�۪s Confusing Avenue Addresses,https://www.nytimes.com/2017/09/15/nyregion/manhattans-confusing-avenue-addresses.html,F.Y.I.,NY,article,[ Keith Williams -],Added
100000005257608,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,A Down Payment With a Catch: You Must Be an Airbnb Host,https://www.nytimes.com/2017/09/18/your-money/mortgages/loftium-airbnb-down-payment.html,None,Business,article,[ Tara Siegel Bernard -],Added
100000005358680,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,Catering to Commuters at a Tijuana Border Crossing,https://www.nytimes.com/video/world/americas/100000005358680/catering-to-commuters-at-a-tijuana-border-crossing.html,None,World,video,None,Removed
100000005360592,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,"Vows: Two Pastors in Love, and Only God Knows",https://www.nytimes.com/2017/09/15/fashion/weddings/two-same-sex-pastors-in-love-and-only-god-knows.html,Vows,Style,article,[ Vincent M. Mallozzi -],Removed
100000005372234,Mon-9-18-2017-7AM,Mon-9-18-2017-6PM,"Crime: Bad Neighbors, Bad Husbands and Very Bad Behavior",https://www.nytimes.com/2017/09/13/books/review/thomas-mullen-lightning-men-new-crime-fiction.html,Crime,Arts,article,[ Marilyn Stasio -],Added
100000005382333,Sun-9-17-2017-6PM,Sun-9-17-2017-10PM,Restoring Eleanor Roosevelt̢����s Childhood Home on the Hudson,https://www.nytimes.com/2017/09/17/nyregion/eleanor-roosevelt-childhood-home-oak-terrace.html,None,U.S.,article,[ William Shannon -],Removed
100000005388472,Mon-9-18-2017-6AM,Mon-9-18-2017-12PM,Nonfiction: Survival of the Prettiest,https://www.nytimes.com/2017/09/18/books/review/evolution-of-beauty-richard-prum-charles-darwin.html,Nonfiction,Arts,article,[ David Dobbs -],AddRem
100000005390731,Sun-9-17-2017-9PM,Mon-9-18-2017-5AM,When Affirmative Action Isn�۪t Enough,https://www.nytimes.com/2017/09/17/us/affirmative-action-college.html,None,U.S.,article,[ Dana Goldstein -],AddRem
100000005391163,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,The Workologist: When Colleagues Won�۪t Stop Talking Politics,https://www.nytimes.com/2017/09/01/jobs/when-colleagues-wont-stop-talking-politics.html,The Workologist,Business,article,[ Rob Walker -],Added
100000005398470,Mon-9-18-2017-7AM,Mon-9-18-2017-12PM,"In Fashion, the Beauty (and Challenge) of Looking Back",https://www.nytimes.com/2017/09/18/t-magazine/fashion-house-archives-inspiration.html,None,Magazine,article,[ Alexander Fury -],AddRem
100000005400773,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,Cake Is His ���Art.�۪ So Can He Deny One to a Gay Couple?,https://www.nytimes.com/2017/09/16/us/supreme-court-baker-same-sex-marriage.html,None,U.S.,article,[ Adam Liptak -],Removed
100000005402498,Sun-9-17-2017-6PM,Mon-9-18-2017-8AM,Ask Real Estate: Facing a Brick Wall and Wondering How to Make it Bearable,https://www.nytimes.com/2017/09/16/realestate/facing-a-brick-wall-and-wondering-how-to-make-it-bearable.html,Ask Real Estate,Real Estate,article,[ Ronda Kaysen -],Removed
100000005409575,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,"He Puts Bill Maher on TV, and Jefferson, Dickens and Tolstoy on Stage",https://www.nytimes.com/2017/09/15/theater/scott-carter-gospel-according-to-thomas-jefferson-charles-dickens-and-count-leo-tolstoy-discord.html,None,Arts,article,[ Dave Itzkoff -],Removed
100000005411682,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,The Holocaust Museum Sought Lessons on Syria. What It Got Was a Political Backlash.,https://www.nytimes.com/2017/09/17/arts/holocaust-museum-study-syria.html,None,Arts,article,[ Sopan Deb - Max Fisher -],Removed
100000005411974,Mon-9-18-2017-9AM,Mon-9-18-2017-12PM,"What's Selling Now: Homes That Sold for Around $600,000",https://www.nytimes.com/2017/09/17/realestate/homes-that-sold-for-around-600000.html,What's Selling Now,Real Estate,article,[ C. J. Hughes -],AddRem
100000005412847,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,Witness a Changing Amazon,https://www.nytimes.com/video/climate/100000005412847/witness-a-changing-amazon.html,None,Science,video,None,Added
100000005413195,Mon-9-18-2017-6AM,Mon-9-18-2017-3PM,"���Friends,�۪ the Sitcom That�۪s Still a Hit in Major League Baseball",https://www.nytimes.com/2017/09/18/sports/baseball/friends-tv-show-baseball-spanish.html,None,Sports,article,[ James Wagner -],AddRem
100000005413352,Sun-9-17-2017-6PM,Mon-9-18-2017-3PM,"His Home Flooded, the Port Arthur Mayor Puts His City First",https://www.nytimes.com/2017/09/17/us/harvey-port-arthur-mayor.html,None,U.S.,article,[ Rick Rojas -],Removed
100000005414740,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,A Starburst Is Born: Watch the Building of the Metropolitan Opera,https://www.nytimes.com/2017/09/15/arts/music/metropolitan-opera-documentary.html,None,Arts,article,[ Michael Cooper -],Removed
100000005415787,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,What Happens When Marcus Samuelsson Takes Harlem to London?,https://www.nytimes.com/2017/09/18/travel/red-rooster-london-shoreditch-marcus-samuelsson.html,None,Travel,article,[ Nikita Stewart -],Added
100000005416074,Sun-9-17-2017-6PM,Mon-9-18-2017-12PM,Rohingya Militants Vow to Fight Myanmar Despite Disastrous Cost,https://www.nytimes.com/2017/09/17/world/asia/myanmar-rohingya-militants.html,None,World,article,[ Hannah Beech -],Removed
100000005417798,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,On the Market: Homes for Sale in Toronto,https://www.nytimes.com/2017/09/18/realestate/homes-for-sale-in-toronto.html,On the Market,Real Estate,article,[ Tara Deschamps -],Added
100000005420194,Sun-9-17-2017-9PM,Mon-9-18-2017-5AM,Knife-Throwing as a Sport: Who Would Have Thunk It?,https://www.nytimes.com/2017/09/15/sports/knife-throwing-sport.html,None,Sports,article,[ Pete Croatto -],AddRem
100000005420419,Mon-9-18-2017-1AM,Mon-9-18-2017-5AM,"Europe Edition: United Nations, Facebook, Hamas: Your Monday Briefing",https://www.nytimes.com/2017/09/18/briefing/united-nations-facebook-hamas.html,Europe Edition,Briefing,article,[ Patrick Boehler -],AddRem
100000005421157,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,Cover Story: Jon Hamm�۪s Second Act,https://www.nytimes.com/2017/09/14/style/what-is-jon-hamm-doing-now.html,Cover Story,Style,article,[ Jim Windolf -],Removed
